Country,GCAM_Region
Burundi,Africa_Eastern
Comoros,Africa_Eastern
Djibouti,Africa_Eastern
Eritrea,Africa_Eastern
Ethiopia,Africa_Eastern
Kenya,Africa_Eastern
Madagascar,Africa_Eastern
Mauritius,Africa_Eastern
Reunion,Africa_Eastern
Rwanda,Africa_Eastern
Sudan,Africa_Eastern
Somalia,Africa_Eastern
Uganda,Africa_Eastern
Algeria,Africa_Northern
Egypt,Africa_Northern
Western Sahara,Africa_Northern
Libya,Africa_Northern
Morocco,Africa_Northern
Tunisia,Africa_Northern
Angola,Africa_Southern
Botswana,Africa_Southern
Lesotho,Africa_Southern
Mozambique,Africa_Southern
Malawi,Africa_Southern
Namibia,Africa_Southern
Swaziland,Africa_Southern
Tanzania,Africa_Southern
Zambia,Africa_Southern
Zimbabwe,Africa_Southern
Benin,Africa_Western
Burkina Faso,Africa_Western
Central African Republic,Africa_Western
Cote d’Ivoire,Africa_Western
Cameroon,Africa_Western
Democratic Republic of the Congo,Africa_Western
Congo,Africa_Western
Cape Verde,Africa_Western
Gabon,Africa_Western
Ghana,Africa_Western
Guinea,Africa_Western
Gambia,Africa_Western
Guinea-Bissau,Africa_Western
Equatorial Guinea,Africa_Western
Liberia,Africa_Western
Mali,Africa_Western
Mauritania,Africa_Western
Niger,Africa_Western
Nigeria,Africa_Western
Senegal,Africa_Western
Sierra Leone,Africa_Western
Sao Tome and Principe,Africa_Western
Chad,Africa_Western
Togo,Africa_Western
Argentina,Argentina
Australia,Australia_NZ
New Zealand,Australia_NZ
Brazil,Brazil
Canada,Canada
Aruba,Central America and the Caribbean
Anguilla,Central America and the Caribbean
Netherlands Antilles,Central America and the Caribbean
Antigua & Barbuda,Central America and the Caribbean
Bahamas,Central America and the Caribbean
Belize,Central America and the Caribbean
Bermuda,Central America and the Caribbean
Barbados,Central America and the Caribbean
Costa Rica,Central America and the Caribbean
Cuba,Central America and the Caribbean
Cayman Islands,Central America and the Caribbean
Dominica,Central America and the Caribbean
Dominican Republic,Central America and the Caribbean
Guadeloupe,Central America and the Caribbean
Grenada,Central America and the Caribbean
Guatemala,Central America and the Caribbean
Honduras,Central America and the Caribbean
Haiti,Central America and the Caribbean
Jamaica,Central America and the Caribbean
Saint Kitts and Nevis,Central America and the Caribbean
Saint Lucia,Central America and the Caribbean
Montserrat,Central America and the Caribbean
Martinique,Central America and the Caribbean
Nicaragua,Central America and the Caribbean
Panama,Central America and the Caribbean
El Salvador,Central America and the Caribbean
Trinidad and Tobago,Central America and the Caribbean
Saint Vincent and the Grenadines,Central America and the Caribbean
Armenia,Central Asia
Azerbaijan,Central Asia
Georgia,Central Asia
Kazakhstan,Central Asia
Kyrgyzstan,Central Asia
Mongolia,Central Asia
Tajikistan,Central Asia
Turkmenistan,Central Asia
Uzbekistan,Central Asia
China,China
Colombia,Colombia
Bulgaria,EU-12
Cyprus,EU-12
Czech Republic,EU-12
Estonia,EU-12
Hungary,EU-12
Lithuania,EU-12
Latvia,EU-12
Malta,EU-12
Poland,EU-12
Romania,EU-12
Slovakia,EU-12
Slovenia,EU-12
Andorra,EU-15
Austria,EU-15
Belgium,EU-15
Denmark,EU-15
Finland,EU-15
France,EU-15
Germany,EU-15
Greece,EU-15
Greenland,EU-15
Ireland,EU-15
Italy,EU-15
Luxembourg,EU-15
Monaco,EU-15
Netherlands,EU-15
Portugal,EU-15
Sweden,EU-15
Spain,EU-15
United Kingdom,EU-15
Belarus,Europe_Eastern
Moldova,Europe_Eastern
Ukraine,Europe_Eastern
Iceland,European Free Trade Association
Norway,European Free Trade Association
Switzerland,European Free Trade Association
Albania,Europe_Non_EU
Bosnia and Herzegovina,Europe_Non_EU
Croatia,Europe_Non_EU
Macedonia,Europe_Non_EU
Montenegro,Europe_Non_EU
Serbia,Europe_Non_EU
Turkey,Europe_Non_EU
India,India
Indonesia,Indonesia
Japan,Japan
Mexico,Mexico
United Arab Emirates,Middle East
Bahrain,Middle East
Iran,Middle East
Iraq,Middle East
Israel,Middle East
Jordan,Middle East
Kuwait,Middle East
Lebanon,Middle East
Oman,Middle East
Palestine,Middle East
Qatar,Middle East
Saudi Arabia,Middle East
Syria,Middle East
Yemen,Middle East
Pakistan,Pakistan
Russia,Russia
South Africa,South Africa
French Guiana,South America_Northern
Guyana,South America_Northern
Suriname,South America_Northern
Venezuela,South America_Northern
Bolivia,South America_Southern
Chile,South America_Southern
Ecuador,South America_Southern
Peru,South America_Southern
Paraguay,South America_Southern
Uruguay,South America_Southern
Afghanistan,South Asia
Bangladesh,South Asia
Bhutan,South Asia
Sri Lanka,South Asia
Maldives,South Asia
Nepal,South Asia
American Samoa,Southeast Asia
Brunei Darussalam,Southeast Asia
Cocos (Keeling) Islands,Southeast Asia
Cook Islands,Southeast Asia
Christmas Island,Southeast Asia
Fiji,Southeast Asia
Federated States of Micronesia,Southeast Asia
Guam,Southeast Asia
Cambodia,Southeast Asia
Kiribati,Southeast Asia
Lao Peoples Democratic Republic,Southeast Asia
Marshall Islands,Southeast Asia
Myanmar,Southeast Asia
Northern Mariana Islands,Southeast Asia
Malaysia,Southeast Asia
Mayotte,Southeast Asia
New Caledonia,Southeast Asia
Norfolk Island,Southeast Asia
Niue,Southeast Asia
Nauru,Southeast Asia
Pacific Islands Trust Territory,Southeast Asia
Pitcairn Islands,Southeast Asia
Philippines,Southeast Asia
Palau,Southeast Asia
Papua New Guinea,Southeast Asia
Democratic Peoples Republic of Korea,Southeast Asia
French Polynesia,Southeast Asia
Singapore,Southeast Asia
Solomon Islands,Southeast Asia
Seychelles,Southeast Asia
Thailand,Southeast Asia
Tokelau,Southeast Asia
Timor Leste,Southeast Asia
Tonga,Southeast Asia
Tuvalu,Southeast Asia
Viet Nam,Southeast Asia
Vanuatu,Southeast Asia
Samoa,Southeast Asia
South Korea,South Korea
Taiwan,Taiwan
United States,USA
